025.45/01;Exercices programmés sur la classification décimale universelle;DUBUC R;Paris;G.Villars;1970;170;Classification utilisant une notation;383
025.5/01;Les services bibliographiques dans le monde 1970 . 1974;BEAUDIQUEZ Marcelle;Paris;Unesco;1977;392;Références, renseignements;5644
025.5/02;Les services bibliographiques dans le monde 1965 . 1969;AVICENNE Paul;Paris;Unesco;1972;320;Références, renseignements;5823
026/01;Les petites bibliothèques techniques;CAMPBELL D. J;Paris;Unesco;1972;48;Bibliothéconomie;5804
026/02;Le réseau bibliographique informatisé et l'accès au document;CHAUVEINC Marc;Paris;d'Organisation;1983;296;Bibliothéconomie : documentation;16934
027_64_/01;Les bibliothèques au Maroc;BENJELLOUN-LAROUI Latifa;Paris;Maisonneuve/ Larose;1990;418;Bibliothèque : Maroc;21197
027.4/01;Législation relative aux bibliothèques publiques : étude comparative;N.GARDNER Frank;Paris;Unesco;1972;322;Bibliothèques publiques libres;5802
027.4/02;Bibliothèques et éducation permanente : de la lecture populaire à la lecture publique;RICHTER Noe;;Bibliothèque univ. . Main;1981;136;Bibliothèque publique;18195
027/01;Les bibliothèques;MASSON André. SALVAN Paul;Paris;Puf;1975;126;Bibliothèques;2250
027/02;Normes pour l'établissement des services de bibliothèque : enquête internationale;WITHERS F. N;Paris;Unesco;1975;488;Bibliothèques générales;5803
02-janv;Bibliothèques et archives : comment se documenter;CHAULEUR Andrée;Paris;Economica;1980;334;Documentation;6713
02-févr;Manuel du bibliothécaire documentaliste dans les pays en développement;ADBS;Paris;Puf;1981;448;Bibliothéconomie;8746
02-mars;Ouvrages de référence pour les bibliothèques publiques : répertoire bibliographique;BEAUDIQUEZ Marcelle. BETMERY Annie;Paris;Cercle de la Librairie;1978;212;Bibliothèque;18172
02-avr;Un espace pour le livre : guide à l'intention de tous ceux qui créent, aménagent ou rénovent une bibliothèque;GASCUEL Jacqueline;Paris;Cercle de la Librairie;1984;332;bibliothèque;18173
02-mai;Choix de vedettes matières à l'intention des bibliothèques;BLANC-MONTMAYEUR Martine. DANSET Françoise;Paris;Cercle de la Librairie;1984;284;Bibliothèque;18171
030.1_34_/06t1S;Encyclopédie Dalloz (procédure civile): absence à divorce. t1;RAYNAUD Pierre;Paris;Jgd;1983;;Encyclopédie de droit;4297
030.1_159.9_/01t1S;Univers de la psychologie: champ, histoire et méthodes de la psychologie. t1;PELICIER Yves (s/s dir.);Paris;Lidis;1977;520;Encyclopédie: psychologie;10201
030.1_159.9_/01t2S;Univers de la psychologie: la vie psychologique normal. t2;PELICIER Yves (s/s dir.);Paris;Lidis;1977;512;Encyclopédie: psychologie;10203
030.1_159.9_/01t3S;Univers de la psychologie: le développement psychologique normal, la vie psychologique pathologique. t3;PELICIER Yves (s/s dir.);Paris;Lidis;1977;528;Encyclopédie: psychologie;10202
030.1_159.9_/01t4S;Univers de la psychologie: les oeuvres et les clés de la vie psychique. t4;PELICIER Yves (s/s dir.);Paris;Lidis;1978;480;Encyclopédie: psychologie;10200
030.1_159.9_/01t5S;Univers de la psychologie: première partie: le psychologie appliquée. t5;PELICIER Yves (s/s dir.);Paris;Lidis;1978;480;Encyclopédie: psychologie;10198
030.1_159.9_/01t6S;Univers de la psychologie: la psychologie appliquée 2ème partie: l'autre univers de la psychologie. t6;PELICIER Yves (s/s dir.);Paris;Lidis;1979;472;Encyclopédie: psychologie;10199
030.1_159.9_/01t7S;Univers de la psychologie: vocabulaire de psychologie, 2000 termes de psychologie, de psychiatrie et de psychanalyse. t7;PELICIER Yves (s/s dir.);Paris;Lidis;1977;140;Encyclopédie: psychologie;10204
030.1_1_/01S;Encyclopédie des sciences philosophiques en abrégé;HEGEL;Paris;Gallimard;1970;552;Encyclopédie de la philosophie;4355
030.1_297_/01t1;Encyclopédie de l'Islam. t1;  ;Paris;Maisonneuve/ Larose;1975;1400;Encyclopédie de l'islam;115
030.1_297_/01t2;Encyclopédie de l'Islam. t2;LEWIS B. PELLAT Ch. SCHACHT J;Paris;Maisonneuve/ Larose;1965;1178;Encyclopédie de l'islam;116
030.1_297_/01t3;Encyclopédie de l'Islam. t3;  ;Paris;Maisonneuve/ Larose;1975;1304;encyclopédie de l'islam;117
030.1_297_/01t4;Encyclopédie de l'Islam. t4;DONZEL E.Van. LEWIS B. PELLAT Ch;Paris;Maisonneuve/ Larose;1978;1226;Encyclopédie de l'islam;2804
030.1_297_/01t5S;Encyclopédie de l'Islam;  ;Paris;Maisonneuve/ Larose;1986;1256;Encyclopédie: Islam;21330
030.1_297_/02S;Shorter Encyclopedia of islam;GIBB H.A.P. KRAMERS J.H;Netherlands;Leiden;1974;674;Encyclopédie de l'Islam;13345
030.1_30_/01S;Encyclopédie de la sociologie : le présent en question;  ;Paris;Larousse;1975;538;Encyclopédie de la sociologie;4406
030.1_33_/01S;Encyclopédie économique = encyclopedia of economica;GRENNWALD Douglas;Paris;Economica;1984;1226;Encyclopédie économique;14843
030.1_33_/02S;Encyclopédie de l'économie : le présent en question;  ;Paris;Larousse;1978;466;Encyclopédie économique;4407
030.1_33_/03t1S;Encyclopédie économique;GREENWALD Douglas;Paris;Economica;1984;548;Encyclopédie économique;18275
030.1_33_/03t2S;Encyclopédie économique;GREENWALD Douglas;Paris;Economica;1984;1224;Encyclopédie économique;18414
030.1_34_02t5S;Encyclopédie Dalloz (droit pénal): preuve à warrants. t5;AYDALOT M;Paris;Jgd;1983;;Encyclopédie de droit;14183
030.1_34_/01t1S;Encyclopédie Dalloz (droit civil): abandon à baux commerciaux. t1;RAYNAUD Pierre;Paris;Jgd;1983;0;Encyclopédie de droit;14172
030.1_34_/01t2S;Encyclopédie Dalloz (droit civil): baux d'habitation et professionnels à consentement. t2;RAYNAUD Pierre;Paris;Jgd;1983;0;Encyclopédie de droit;14173
030.1_34_/01t3S;Encyclopédie Dalloz (droit civil): contrats et conventions à engagement par volonté unilatérale. t3;RAYNAUD Pierre;Paris;Jgd;1983;0;Encyclopédie de droit;14174
030.1_34_/01t4S;Encyclopédie Dalloz (droit civil): enregistrement et taxe de publicité foncière à LEGS. t4;RAYNAUD Pierre;Paris;Jgd;1983;0;Encyclopédie de droit;14175
030.1_34_/01t5S;Encyclopédie Dalloz (droit civil): lésion à prêt. t5;RAYNAUD Pierre;Paris;Jgd;1983;0;Encyclopédie de droit;14176
030.1_34_/01t6S;Encyclopédie Dalloz (droit civil): preuve à responsabilité du fait personnel. t7;RAYNAUD Pierre;Paris;Jgd;1983;0;Encyclopédie de droit;14177
030.1_34_/01t7S;Encyclopédie Dalloz (droit civil): rétention à warrant agricole. t7;RAYNAUD Pierre;Paris;Jgd;1983;0;Encyclopédie de droit;14178
030.1_34_/02t1S;Encyclopédie Dalloz (droit pénal): abondant d'enfant ou d'incapable à cinématographique. t1;AYDALOT M;Paris;Jgd;1983;0;Encyclopédie de droit;14179
030.1_34_/02t2S;Encyclopédie Dalloz (droit pénal): circonstances aggravantes à douanes. t2;AYDALOT M;Paris;Jgd;1983;0;Encyclopédie de droit;14180
030.1_34_/02t3S;Encyclopédie Dalloz (droit pénal): droit criminel à insignes et emblèmes. t3;AYDALOT M;Paris;Jgd;1983;0;Encyclopédie de droit;14181
030.1_34_/02t4S;Encyclopédie Dalloz (droit pénal): insoumission à prêt sur gages. t4;AYDALOT M;Paris;Jgd;1983;0;Encyclopédie de droit;14182
030.1_34_/03t1S;Encyclopédie Dalloz (droit commercial): abordage à brevet d'invention. t1;HEMARD Jean;Paris;Jgd;1983;0;Encyclopédie de droit;14184
030.1_34_/03t2S;Encyclopédie Dalloz (droit commercial): carte de crédit à facture protestable. t2;HEMARD Jean;Paris;Jgd;1983;0;Encyclopédie de droit;14185
030.1_34_/03t3S;Encyclopédie Dalloz (droit commercial): faillite personnelle, règlement judiciaire, liquidation des biens;HEMARD Jean;Paris;Jgd;1983;0;Encyclopédie de droit;14186
030.1_34_/03t4S;Encyclopédie Dalloz (droit commercial): marchands ambulants et forains à warrant pétrolier. t4;HEMARD Jean;Paris;Jgd;1983;0;Encyclopédie de droit;14187
030.1_34_/03t5S;Encyclopédie Dalloz (droit commercial). t5;HEMARD Jean;Paris;Jgd;1979;0;Encyclopédie de droit;4288
030.1_34_/04t1S;Encyclopédie Dalloz (droit des sociétés): action à dividende. t1;LAGARDE G;Paris;Jgd;1983;0;Encyclopédie de droit;14189
030.1_34_/04t2S;Encyclopédie Dalloz (droit des sociétés): économie mixte. t2;LAGARDE G;Paris;Jgd;1983;0;Encyclopédie de droit;14188
030.1_34_/04t3S;Encyclopédie Dalloz (droit des sociétés): raison sociale à valeurs mobilières. t3;LAGARDE G;Paris;Jgd;1983;0;Encyclopédie de droit;14190
030.1_34_/04t4S;Encyclopédie Dalloz (droit des sociétés): formules des principaux actes de sociétés. t4;REYNAUD Charles;Paris;Jgd;1971;0;Encyclopédie de droit;4292
030.1_34_/05t1S;Encyclopédie Dalloz (droit du travail) : agent d'assurances à contrat de travail à durée indéterminée;LAROQUE Jean. CAMERLYNCK G.H;Paris;Jgd;1983;0;Encyclopédie de droit;14191
030.1_34_/05t2S;Encyclopédie Dalloz (droit du travail) : convention collective du travail, médecine du travail. t2;LAROQUE Jean. CAMERLYNCK G.H;Paris;Jgd;1983;0;Encyclopédie de droit;14192
030.1_34_/05t3S;Encyclopédie Dalloz (droit du travail) : mines à victimes de guerre. t3;LAROQUE Jean. CAMERLYNCK G.H;Paris;Jgd;1983;0;Encyclopédie de droit;14193
030.1_34_/06t2S;Encyclopédie Dalloz(procédure civile): domicile et demeure à preuve. t2;RAYNAUD Pierre;Paris;Jgd;1983;0;Encyclopédie de droit;4298
030.1_34_/06t3S;Encyclopédie Dalloz (procédure civile): nullités à vérifications personnelles du juge. t3;RAYNAUD Pierre;Paris;Jgd;1983;0;Encyclopédie de droit;13239
030.1_34_/07t1S;Encyclopédie Dalloz : droit international. t1;RANCESCAKIS Ph;Paris;Jgd;1968;840;Encyclopédie de droit;4470
030.1_34_/07t2S;Encyclopédie Dalloz : droit international. t2;FRANCESCAKIS Ph;Paris;Jgd;1969;1044;Encyclopédie de droit;4471
030.1_34_/07t3S;Encyclopédie Dalloz : droit international. t3;FRANCESCAKIS Ph;Paris;Jgd;1979;298;Encyclopédie de droit;4472
030.1_34_/08t1S;Encyclopédie Dalloz : nouveau répertoire de droit. t1;VERGE Emmanuel;Paris;Jgd;1962;1152;Encyclopédie de droit;4303
030.1_34_/08t2S;Encyclopédie Dalloz : nouveau répertoire de droit. t2;VERGE Emmanuel;Paris;Jgd;1963;1128;Encyclopédie de droit;4304
030.1_34_/08t3S;Encyclopédie Dalloz : nouveau répertoire de droit. t3;VERGE Emmanuel;Paris;Jgd;1964;990;Encyclopédie de droit;4305
030.1_34_/08t4S;Encyclopédie Dalloz : nouveau répertoire de droit. t4;VERGE Emmanuel;Paris;Jgd;1965;1098;Encyclopédie de droit;4306
030.1_34_/08t5S;Encyclopédie Dalloz : nouveau répertoire de droit. t5;VERGE Emmanuel;Paris;Jgd;1979;1198;Encyclopédie de droit;4302
030.1_34_/09t1S;Recueil Dalloz série de doctrine de jurisprudence et de législation (1980). t1;  ;Paris;Jgd;1980;1782;Encyclopédie de droit;16164
030.1_34_/09t2S;Encyclopédie Dalloz et Sirey de doctrine de jurisprudence et de législation(1981). t2;  ;Paris;Jgd;1981;1743;Encyclopédie de droit;13237
030.1_34_/09t3S;Encyclopédie Dalloz et Sirey de doctrine de jurisprudence et de législation (1982). t3;  ;Paris;Jgd;1982;1722;Encyclopédie de droit;13238
030.1_34_/09t4S;Recueil Dalloz et Sirey de doctrine de jurisprudence et de législation (1983). t4;  ;Paris;Jgd;1983;1768;Encyclopédie de droit;16165
030.1_34_/09t5S;Recueil Dalloz de doctrine de jurisprudence et de législation (1984). t5;  ;Paris;Jgd;1984;1896;Encyclopédie de droit;16166
030.1_34_/10t1S;Le savoir juridique économique fiscal et politique : droit civil. t1;GRÜNBERG Roland;Argenteuil;Edilec;1982;320;Encyclopédie de droit;10193
030.1_34_/10t2S;Le savoir juridique économique fiscal et politique : droits particuliers. t2;GRÜNBERG Roland;Argenteuil;Edilec;1982;298;Encyclopédie de droit;10195
030.1_34_/10t3S;Le savoir juridique économique fiscal et politiques : droit commercial et fiscalité. t3;GRÜNBERG Roland;Argenteuil;Edilec;1982;298;Encyclopédie de droit;10196
030.1_34_/10t4S;Le savoir juridique économique fiscal et politique : droit public. t4;GRÜNBERG Roland;Argenteuil;Edilec;1982;296;Encyclopédie de droit;10192
030.1_34_/10t5S;Le savoir juridique économique fiscal et politique : droit pénal. t5;GRÜNBERG Roland;Argenteuil;Edilec;1982;298;Encyclopédie de droit;10194
030.1_34_/10t6S;Le savoir juridique économique fiscal et politique: économie. t6;GRÜNBERG Roland;Argenteuil;Edilec;1982;299;encyclopédie de droit;10197
030.1_36_/01t1S;Encyclopédie Jeune Afrique de la famille : donner la vie. t1;  ;Paris;Jeune Afrique;1979;322;encyclopédie de la famille;2458
030.1_36_/01t2S;Encyclopédie Jeune Afrique de la famille : installer sa maison. t2;  ;Paris;Jeune Afrique;1979;402;encyclopédie de la famille;2459
030.1_36_/01t3S;Encyclopédie Jeune Afrique de la famille : éduquer son enfant. t3;  ;Paris;Jeune Afrique;1979;312;Encyclopédie de la famille;2460
030.1_36_/01t4S;Encyclopédie Jeune Afrique de la famille : protéger sa santé. t4;  ;Paris;Jeune Afrique;1980;322;Encyclopédie de la famille;2461
030.1_36_/01t5S;Encyclopédie Jeune Afrique de la famille : connaître ses droits. t5;  ;Paris;Jeune Afrique;1980;322;Encyclopédie de la famille;2462
030.1_36_/01t6S;Encyclopédie Jeune Afrique de la famille : tout savoir. t6;  ;Paris;Jeune Afrique;1980;286;Encyclopédie de la famille;2463
030.1_37_/01t10;The international encyclopedia of higher education. vol 10;KNOWLES Asa;London;J. Bass;1978;5208;Encyclopédie de l'éducation;3082
030.1_37_/01t1S;The international encyclopedia of higher education. vol 1;KNOWLES Asa;London;J. Bass;1978;576;Encyclopédie de l'éducation;3073
030.1_37_/01t2S;The international encyclopedia of higher education. vol 2;KNOWLES Asa;London;J. Bass;1978;586;Encyclopédie de l'éducation;3074
030.1_37_/01t3S;The international encyclopedia of higher education. vol 3;KNOWLES Asa;London;J. Bass;1978;1218;Encyclopédie de l'éducation;3075
030.1_37_/01t4S;The international encyclopedia of higher education. vol 4;KNOWLES Asa;London;J. Bass;1978;1792;Encyclopédie de l'éducation;3076
030.1_37_/01t5S;The international encyclopedia of higher education. vol 5;KNOWLES Asa;London;J. Bass;1978;2356;Encyclopédie de l'éducation;3077
030.1_37_/01t6S;The inetrnational encyclopedia of higher education. vol 6;KNOWLES Asa;London;J. Bass;1978;2942;Encyclopédie de l'éducation;3078
030.1_37_/01t7S;The international encyclopedia of higher education. vol 7;KNOWLES Asa;London;J. Bass;1978;3452;Encyclopédie de l'éducation;3079
030.1_37_/01t8S;The international encyclopedia of higher education. vol 8;KNOWLES Asa;London;J. Bass;1978;4052;Encyclopédie de l'éducation;3080
030.1_37_/01t9S;The international encyclopedia of higher education. vol 9;KNOWLES Asa;London;J. Bass;1978;4588;Encyclopédie de l'éducation;3081
030.1_3_/01t18S;International encyclopedia of the social sciences. t18;SILLS David;United States;Macmilan;1979;826;Encyclopédie des sciences sociales;13034
030.1_3_/01t1,2;International encyclopedia of the social sciences. t1 and t2;SILLS David;United States;Macmilan;1968;1190;Encyclopédie des sciences sociales;13026
030.1_3_/01t3,4;International encyclopedia of the social sciences. t3 and 4;SILLS David;United States;Macmilan;1968;1114;Encyclopédie des sciences sociales;13027
030.1_3_/01t5,6;International encyclopedia of the social sciences. t5 and 6;SILLS David;United States;Macmilan;1968;1112;Encyclopédie des sciences sociales;13028
030.1_3_/01t7,8;International encyclopedia of the social sciences. t7 and t8;SILLS David;United States;Macmilan;1968;1224;Encyclopédie des sciences sociales;13029
030.1_3_/01t9S;International encyclopedia of the social sciences. t9,10;SILLS David;United States;Macmilan;1968;1167;Encyclopédie des sciences sociales;13030
030.1_520_/01t1S;Kodansha encyclopedia of Japan. t1;  ;Japan;Kodansha;1983;360;Encyclopédies générales universelles japonaises;18111
030.1_520_/01t2S;Kodansha encyclopedia of Japan. t2;  ;Japan;Kodansha;1983;378;Encyclopédies générales universelles japonaises;18112
030.1_520_/01t3S;Kodansha encyclopedia of Japan. t3;  ;Japan;Kodansha;1983;367;Encyclopédies générales universelles japonaises;18113
030.1_520_/01t4S;Kodansha encyclopedia of Japan. t4;  ;Japan;Kodansha;1983;388;Encyclopédies générales universelles japonaises;18114
030.1_520_/01t5S;Kodansha encyclopedia of Japan. t5;  ;Japan;Kodansha;1983;387;Encyclopédies générales universelles japonaises;18115
030.1_520_/01t6S;Kodansha encyclopedia of Japan. t6;  ;Japan;Kodansha;1983;380;Encyclopédies générales universelles japonaises;18116
